event_count,decile,day_name,day_wk_mon1,simple_labels2_based_on_900k_sample,median_event_volume,mean_event_volume,median_dur,mean_dur
10.792,1,Monday,1,0_small_tap,1.8722705914,2.0056147392,21.25,21.7846230125
1.295,1,Monday,1,1_long_tap,8.49766873475,8.8713731515,92.65,95.635984125
0.283,1,Monday,1,2_shower,25.195820955,27.5503050175,279.65,288.344403925
0.092,1,Monday,1,3_bath,48.7054722175,51.2342447425,555.05,556.64553075
0.056,1,Monday,1,3_bath_big,70.3244863725,76.7915926785,821.1,924.26592885
10.513,1,Tuesday,2,0_small_tap,1.88661888975,2.01639821405,21.25,21.8031746025
1.236,1,Tuesday,2,1_long_tap,8.37150090235,8.8555236775,91.8,95.34335318
0.279,1,Tuesday,2,2_shower,24.583770822,26.562012848,276.25,283.14864199
0.09,1,Tuesday,2,3_bath,48.5517169925,52.6282771105,558.45,560.594540225
0.063,1,Tuesday,2,3_bath_big,72.5956675535,78.7284268185,846.6,929.95509275
10.086,1,Wednesday,3,0_small_tap,1.85947782025,1.99983374215,21.25,21.757638887
1.192,1,Wednesday,3,1_long_tap,8.49843017325,8.893542401,92.65,95.688369795
0.28,1,Wednesday,3,2_shower,24.241186686,26.120817645,274.55,282.413017055
0.078,1,Wednesday,3,3_bath,48.728532284,51.3451494445,549.1,554.578857155
0.06,1,Wednesday,3,3_bath_big,69.0502217585,79.5942795055,824.5,929.51213565
10.143,1,Thursday,4,0_small_tap,1.8992268981,2.0118162678,21.25,21.838591272
1.192,1,Thursday,4,1_long_tap,8.613492306,8.9322333555,93.5,95.597908375
0.273,1,Thursday,4,2_shower,24.9246664075,26.7440725545,277.95,285.253855435
0.083,1,Thursday,4,3_bath,47.890417103,50.231838816,549.95,554.33636363
0.063,1,Thursday,4,3_bath_big,71.443054744,78.8949283885,824.5,910.7916668
10.427,1,Friday,5,0_small_tap,1.86481136285,2.0039608636,21.25,21.801488092
1.216,1,Friday,5,1_long_tap,8.520965471,8.8276080795,92.65,95.23710318
0.283,1,Friday,5,2_shower,24.609483543,26.5001031065,279.65,287.799506155
0.091,1,Friday,5,3_bath,48.240731445,51.864224495,558.45,562.87472226
0.057,1,Friday,5,3_bath_big,71.918678857,78.329039554,813.875,880.53333365
10.734,1,Saturday,6,0_small_tap,1.8511968474,1.99375993965,21.25,21.688492067
1.276,1,Saturday,6,1_long_tap,8.589109903,8.8369954115,92.65,95.19155066
0.277,1,Saturday,6,2_shower,25.077500156,26.4426025955,277.95,284.952955095
0.079,1,Saturday,6,3_bath,49.5044737475,51.718045371,553.35,557.12827227
0.06,1,Saturday,6,3_bath_big,71.952499133,76.674480146,829.6,895.40598255
11.295,1,Sunday,7,0_small_tap,1.8687510576,1.99858194885,21.25,21.7745039665
1.368,1,Sunday,7,1_long_tap,8.590644969,8.8653592485,93.075,95.390575355
0.301,1,Sunday,7,2_shower,24.53700797,26.4400528675,280.5,285.679812195
0.096,1,Sunday,7,3_bath,47.5064994815,51.6046968765,555.05,554.26634148
0.089,1,Sunday,7,3_bath_big,71.555621162,76.782485838,824.925,888.55240365
15.147,2,Monday,1,0_small_tap,1.76921978655,1.89988912205,20.4,21.067688022
1.685,2,Monday,1,1_long_tap,8.7366578755,8.992042356,96.05,97.07757656
0.448,2,Monday,1,2_shower,26.2707785465,28.4027286905,293.25,297.990483405
0.116,2,Monday,1,3_bath,50.2330162445,53.1694682855,548.25,550.89178402
