no_hholds,decile,median_daily_dhw_vol,min_daily_dhw_vol,max_daily_dhw_vol,calibration_daily_dhw_vol,calibration_DHW_variance
505,1,37.941166882,19.711499949,47.913082931,49.2016329735492,3.74731311189499
360,2,55.9838329395,47.913082931,63.208124405,69.1001494732299,5.71168810199557
330,3,69.7566667375,63.208124405,76.8258333305,83.7810413626764,7.16439646115579
304,4,82.8473749915,76.8258333305,90.034126615,96.5271001718181,8.63289084585457
260,5,96.06133288,90.034126615,101.77758424,108.540391179504,11.0642603374963
253,6,109.763334665,101.77758424,116.04483203,119.977100489207,11.3512583905686
242,7,123.31374915,116.04483203,131.40858373,134.502877872989,13.3060000030078
221,8,141.053249235,131.40858373,152.314333305,151.425795976735,16.1796131845982
207,9,162.905335005,152.314333305,179.57241746,171.449625574513,17.1551517731825
185,10,197.763832795,179.57241746,220.65716763,204.866908174598,27.1986638325075
